naive_did,abadie_lgbm_result,dmldid_lgbm_result
10.284488658570568,6.625585847500012,2.2378609000812486
9.852458262517377,6.495922463051758,2.2298875744675235
9.927242601266245,6.484309461275633,2.1651208651760965
9.694917744736546,6.3747234940254405,2.350480271511054
9.331960050069048,5.984387114070657,2.646876205965756
9.305348675543463,6.134516892266709,2.375309631821712
9.298147238849342,6.265591261213815,2.521301342494061
9.399636843520295,6.306424359852968,2.420900874823563
9.581666044179483,6.221897732878418,2.148358908543555
9.712482939821166,5.901575148477626,2.333628311388379
9.807318849273859,6.156317369081639,1.9501272893447699
9.852430127441828,6.556969815229386,2.17395277318977
9.801048393304956,6.144515922583897,2.2845786878101704
9.850807730909166,6.179021471963235,2.0579707722109872
10.020677493960083,6.482666259548165,2.2948274213972315
8.84628851038881,5.746373395358446,2.4760014891198647
9.916596741911071,6.434039487678706,2.2885381632478965
9.353388589958817,6.237725092358168,2.530157143291364
9.672261667006364,6.463132069460847,2.1066552779115715
9.854260311767472,6.664790658696686,2.3763071264857265
10.209264846299915,6.48048641516468,1.6572778054160051
9.363742586894787,6.14829517129103,2.275759060937936
10.28996757031056,6.455510388504224,1.9959242382769327
9.872604603984144,6.147334637458944,2.265075253810403
9.355456778716281,6.289834147799235,2.782165625735021
9.63274466020626,6.1850871767804625,2.788090065408734
10.133457241484798,6.205077896369129,2.464017539792086
9.329459904630653,6.025685736527026,2.185079307183358
9.247010902445219,6.057311186274814,2.459158068878451
9.278852093324998,6.180888324559638,2.141679049919034
9.132251991308522,6.189546359549721,2.3222155431253633
9.485624490778898,5.9421219044140265,2.242329419284292
9.683277993670064,6.151725614435948,1.8029144025406802
10.02954921727039,6.45318121814623,2.600858520962803
9.512460628582652,5.986694607075486,2.318447926672475
9.521004190648455,6.001239219990368,2.3687336336710594
9.411642169175494,6.137238314598154,2.6462842687469728
9.472674772886286,6.2028677254892335,2.3912584512653203
9.526450100329647,6.217681778162276,2.21294305900012
9.145026788298921,6.0664118261408975,2.2298432803574366
9.881160105730046,6.569489727038314,2.3799898235478043
9.98931962169803,6.35465071722952,2.3230177694242276
10.195718568231175,6.570143131766143,2.1148629113742414
9.389264869392559,5.949377927211863,2.3264990003563986
9.699981399767369,6.180120914850195,2.316633444209506
9.941738203146368,6.331917359639637,1.9536418223987997
10.164225461449268,6.45287761861405,2.105397573862904
9.410219665236792,6.171282111165183,2.528248641415308
9.898468171962413,6.27846813860346,2.5096731773833856
9.606469994679017,6.173526677763365,2.414079856357408
9.461629874298522,6.1676617431684475,2.664104224075194
9.860326785703888,6.326319289093539,1.9947695544943485
9.448434315695845,6.047066138998237,2.2387828347575
9.573476749476972,6.40412458329775,1.879031872242044
9.803520130377088,6.335683808312425,2.601588569918002
9.60245899758551,6.217145009199192,2.4957603393847143
9.42481932576964,5.9773295673611795,2.340211598299594
9.473859815456377,6.015966950560103,2.5645638014976604
9.616398999831706,6.289961352516212,2.3802922141605336
9.781077630916727,6.240764746170918,2.4571068113249934
9.799436090817,6.237245182093324,2.558916884559227
9.412452693434988,6.239921977791176,2.5449051568866494
9.60855203301811,6.409489294592122,2.3449876216152576
