original_bar,few_fixed_bar,abadie_semidid,modified_dmldid_without_separate,modified_dmldid_with_separate
9.050762518371954,9.309029314111935,8.311350004425929,-2.7372584093188546,1.3805505563242937
7.923190520506232,8.370868836059186,6.42258127384619,7.303378929956741,3.376532153524326
6.156315813203366,5.711238944042407,4.56857982349099,1.9913095528925298,2.26000308679136
10.164432768622989,10.39438425196633,8.173316462124395,8.232548402523733,3.114848322555641
8.88649730904179,9.100346777644281,7.568790135693628,6.461236286225787,2.675791524185394
8.889743979803804,9.21708267595375,7.565405958214759,9.30607565960171,3.457817185035536
6.172679910258854,6.33006810382639,5.204636801152922,7.247083950971408,2.648511392869114
5.974480881788276,5.9721495295907445,6.024464712433244,7.724763045364153,2.678478539248868
6.219405850879585,6.134315830319791,6.255199729953196,-9.386945555147037,-1.1642877422960483
8.051275184641659,8.349313443922291,6.863428114538184,8.442305037331515,2.1758566249665794
4.425237261529857,3.820975399443627,4.259425648502685,2.954703011684629,2.89231885437177
9.773254297918758,9.56854891260376,7.473061767329704,-21.274350666940926,8.630377091334672
7.542506361039641,7.653090295648891,6.244130058553085,10.520502975262694,4.055922858917604
7.445057355463179,7.562633360467798,5.564999844564774,2.6947425943105365,4.71114027859266
6.9546626277594275,7.207241370470539,5.088603712825169,25.25739310787608,1.4044823243731326
6.872378411489009,6.784380822377883,6.041633889711125,10.544619595718,3.278299597072794
6.630979280290902,6.830149471590866,5.3100773437161495,7.797140560506882,2.7534355067029233
8.648930216275705,8.633900980329727,6.888353072495146,5.832628999949424,2.733942409186059
7.89134101323133,7.937795482220039,6.873235844329916,8.249550584240621,2.4706569317627993
6.932609970585561,7.455230982273795,5.497499037085493,12.626190502817234,1.9807304430121662
5.559610995966184,5.6534097032827955,4.954640943492463,7.394515436441953,3.073263380426385
7.089289326820058,7.8878551116944084,5.485654745272273,8.249363523026418,3.0677299438442747
6.370207410613544,6.510920506469661,4.9857957379751685,5.489535401188465,2.891241151628379
5.31788276045407,5.2541019775200075,3.7178574576107994,-3.632002711104933,3.4118237854200144
6.8188596982595495,6.815707250654444,6.357033922476004,1.2208126735610882,2.790215164231496
10.160046759981206,9.976611610494851,8.69574897866677,8.548401163434017,3.138790613021632
7.086666252624912,5.649792975341628,6.279874388843194,3.967499050694623,2.353931265697237
7.356499601362497,7.302615810597116,6.305810682029091,-1.3786582493796353,1.8888066317237855
6.54713652406734,5.800421586212557,5.085823319314176,7.78063576771641,2.755195253619406
6.157925285647236,6.622662051551401,6.312691056920866,-2.9832688523938256,1.8194791534885506
9.452546474273582,8.99394152009771,7.3696315141619,4.460960827436298,3.833063067417316
10.474230443055681,10.2424775351538,8.111252861459963,9.448266019258144,3.5757973830045815
3.491047958636703,3.168400513428511,4.845239582488021,7.673912257319484,2.959218232951769
8.154730120446594,8.226979452101478,6.392123845483808,8.10973197658383,2.916103777962502
5.65450921817048,5.367708471625351,3.099137638658645,1.175416405704519,-1.049088901156508
7.65540860557752,8.20267169941825,8.280748412722588,0.569621207341334,2.0036018626785137
10.957798554359453,11.475877479575447,9.514470597148529,8.741566611629473,2.92330568722089
10.983342741620024,11.4203574527036,9.644130860200018,2.6286682672630786,4.3580661013397615
7.737261936554849,7.833165768794579,5.220804131780981,6.4435176247279315,2.0407548249722933
6.300822465859746,6.848289881029054,5.155692969892572,7.808486213497023,3.1185684673137857
8.182496428769252,8.997768778281097,6.947599663056115,5.89796783064474,3.2808998407954157
7.174945577610629,7.272230943477894,5.8412670352585785,6.875431695420671,2.97550256783113
9.482557560769138,9.47810158402042,8.210767147318785,8.316526235955653,3.9259527076433014
3.941201781923559,3.8386411385427146,2.9803098397308005,8.73301202521312,3.658480634414108
8.655359791410344,8.617288999977681,8.517925954079402,6.587303380186858,3.35481581232483
7.212369076193012,7.964800232502088,6.760170769280924,6.264332716063837,2.7106753905431358
9.65980187974407,9.969559285517942,8.337913960653236,8.8198327809389,3.467337579049503
8.531709114528757,8.876339370218783,8.67121198986161,9.097658737652175,2.9366187780490547
7.148433633277389,7.377019567657776,6.446232012237754,8.123623915478182,3.0288339557332145
10.418151487375649,10.844592790527543,8.707761302525793,7.899248238507602,3.060656821355348
4.881527348274992,4.507430498694696,4.562740993040381,-4.759352260201533,1.4844373266470328
7.873884221362193,7.65781287839989,7.102927329023251,6.992754650903809,3.024213642567031
5.16002076590793,5.104180367695575,4.474241604612765,8.618164761866066,3.1196822495590113
6.727171351736793,7.094784453342253,5.987345712579667,6.450762028487523,2.6870921456708747
8.034625732958101,8.311036931541773,7.06477490861335,8.94407686157426,2.883200958151431
8.05386175812788,8.186393353708276,6.6260105200946,8.13293935890201,2.914967971298941
7.940119696287648,8.466634999029528,6.604450611521085,3.754130219636677,2.40369671571581
7.3886174513381455,7.222759315424807,6.343561082548577,-9.111040897404923,0.7616465388059566
7.1361927854683245,7.279499193048146,6.607820418089901,4.862956778844395,3.1110993126500404
9.41474483777022,9.177727551844242,9.466750703510382,3.938609764196038,2.5275030651951513
6.980651133463088,6.867494422933121,7.138749008128198,-1.0366397407452,2.1596475702308107
5.517488669674483,5.760576817174745,4.564576425475943,6.859492963779145,2.7448225739258953
8.91180402301444,9.409202573189376,8.330580773502165,3.0685784020207008,3.140392863424994
8.690176799773527,9.165769486135787,7.360059806722586,7.302755572003013,2.9934748846116466
7.6430367807973045,7.678382608094692,7.2270450430165445,6.7901583605546945,3.0990361557466475
5.72505150678773,5.916830120207249,5.3874333302319295,-1.1579039233750175,4.334066231574498
8.976310302738472,8.95584400970931,7.349718535742566,9.399013225044174,3.3976258255241563
3.3515765164162308,3.0820091566629917,3.2933663393092982,0.8389744919462347,1.731729712392574
6.273286219830284,6.267065358341979,5.40869119481831,6.2800619271858675,3.736420654185632
6.480256970250792,6.782261328013043,5.263859015506155,-0.11746841155771293,1.5083767804451953
9.36124843465712,9.403290843968442,8.13370719318199,9.801983944241886,3.73208381084913
7.250087491133819,7.6448554729609715,6.493255842787144,4.100265345894856,3.9815530660811733
8.420265808414676,8.825826132746176,7.367684743817422,7.72463760802046,3.2940074138106135
8.988839174532387,8.987054064016164,7.985919956398421,1.9427695371681974,4.138976975593851
7.252509496761013,7.130062082004474,6.04625955115363,7.128731642008883,2.839512575636517
7.996448653423613,8.14359585009355,7.335015648097648,8.256122198461789,3.7643027550297745
10.590622288300285,10.825415914283242,9.977215954660652,8.361846787509743,3.005727744139768
6.621444947997407,6.630777668603227,5.593813644147732,-2.964556154474871,5.791998206361526
9.10212768260028,9.301446946606493,7.473651361990313,7.81725194738436,3.1215008226394887
7.106881226970044,7.205212737390351,7.335748933857386,4.459268945799966,1.885591759510082
7.9116832644595725,8.040022758495585,5.400997546958754,8.129713137192093,2.7831233341527457
5.630659404408814,5.53096355743132,4.479422015419365,7.824438989394946,3.1368146136474655
8.915675826707263,9.137149236444078,7.4425926064786045,7.987933367641691,3.0074376367700815
6.750566227079879,6.73015417016949,5.573967972491156,8.369486495235034,-2.435081757469479
7.719592053316989,8.13372891189491,6.865967860923716,8.359142034469494,3.1121705998388207
11.751956289056755,12.10688782588382,8.75113683845274,4.1896404442064155,1.959641782994892
6.1428107194117665,6.3231616676926325,6.663033161025715,10.322614064303377,2.3199557228896035
5.597092622990761,5.651472268038448,4.364067795113023,7.46849922142763,2.9370380977283617
8.135229554702768,8.147853382985815,6.75054293438472,6.096522728211628,4.221518126901319
12.799294916487128,14.206724725577384,10.85570125057772,10.169680664258422,3.3247044597213016
5.661574465726568,5.614484569170125,3.821119196782299,6.9060380450051895,3.5600159830534603
6.1381918646320095,6.192333805729928,4.823977128010367,6.596351786471256,2.893685550065706
9.155281318331749,9.581757948605732,7.56992549411161,8.470071139787906,3.1444681437889628
4.905691221039563,4.469492110421874,4.120604478924471,6.793781603747837,2.6686472808717197
6.962655435029962,7.144181182819337,5.3565440134875235,7.037088126811346,2.92332622326946
6.777899064045121,7.069795029035864,5.425207657411119,4.082254009658372,3.6136333878085147
8.432605585537274,8.616785788945647,7.6995662935935,-17.942267133209246,2.5875968878548767
6.46694903883588,6.655160616898968,4.681188242709498,9.23518330318636,3.3981685025265502
8.83604797924081,8.877375020179302,8.609298188507058,5.072095221118573,3.185445721496534
8.116665790432112,8.97513694821527,6.625650945266954,3.8890105486504067,2.8387515829288144
8.530830276788638,8.872722698946236,7.342591022010972,7.974378340577886,3.273621550658608
9.345747154104522,9.53560481594656,8.754102369126334,9.697184304613167,3.6592033839214464
10.248354998944677,10.008032297065299,8.543831840259767,6.95840784883777,4.269615853530004
6.638877529544478,6.742237285286927,7.348385829862837,2.11665295041505,3.421922955686011
5.513327131777397,5.5446380684054555,4.694933571181408,-7.671759668213777,2.84182404663984
5.34924329404971,5.781908904375612,4.020711774652343,6.541320739840643,2.6296997644199367
9.669481585778875,9.526592025314528,8.523198553674268,9.802524997318997,3.2685434734059746
8.54362416783337,8.484541908101697,7.8151556796201,8.516225530295682,3.2832784948253755
6.894227810249632,6.9168282932546035,6.937579834946544,8.523286088083832,2.971346897444163
5.48631373432138,5.461249215738658,4.769612217102767,5.6373040993489365,3.935907371186633
6.731983498733733,6.842866660594604,6.471206747589321,8.376596737061229,3.065180483371639
6.610275047886507,6.628854798986119,7.276880227650286,8.187127305780589,3.1024472957772096
7.995678201103907,8.001645620092102,5.233672014259827,8.759262698790621,3.352348907874542
6.738599099541521,7.0672737627984255,5.487666761553077,7.975332105464606,3.462505459608087
6.673816991190867,6.855899659040513,5.555824460490455,0.6486579397964709,3.258637571921452
6.268895303153487,6.631513456081365,6.7179086347638455,6.070532360683508,2.7503765966209466
3.3793515889672228,3.372791770089162,6.205706528097228,7.469882750428788,2.7686524522280966
7.3854027831725,6.954783314139815,6.9526936382572915,-3.1182082078489612,1.624642412819709
4.657105760124102,4.79247410805165,4.049277550513237,6.025903349399801,2.228633534410502
5.276750054254789,5.243534836903585,5.8787345202921175,4.611379377261723,2.4684812845530555
5.901352483828278,6.263918654430321,6.0163254620154465,7.160719233255898,2.094560960278486
8.311587725564362,8.410701566318247,7.69606920913748,6.715438341694998,3.08701297453182
5.010350426269227,5.164636367494446,4.544394860012786,6.933546095666208,5.861692956858759
7.712717809629554,7.588903236580574,7.118545447150952,6.12676455931598,3.8238289563091263
8.835394636305471,9.255109245015154,7.141371411316355,5.397579605930064,2.992362266817021
