naive_did,abadie_lasso_result,dmldid_lasso_result
3.015942881666956,3.167088639069646,3.1965925361539664
2.998753856832709,3.957491102263093,2.9328416098696524
3.0040140139496057,3.5114652989214132,2.996187066819405
3.041778715693192,3.480848473308257,3.0783664169484535
2.9944991587650276,3.1597912293288157,2.837173795288484
2.9781185867140394,3.5125123521304267,3.0023250917924216
2.9512886037611086,3.3987497257839463,2.9869023238220196
3.0043287155642493,3.0504813529729757,2.8613260423306413
3.0302282970946166,3.540162002942243,2.997905275895854
3.0013034899021207,3.510621664702035,2.8503788187583003
3.0200541878608007,3.457482188500155,3.0246258409165545
3.0230231281595934,3.535037857489254,2.977659472253945
2.984830436747024,3.6023427718273937,2.9744428799544607
2.991689929740651,3.547808943740055,3.065934624920268
2.9933826207595327,3.5684539742782424,3.0376005966961785
3.0260711522142354,3.4648579272262334,3.0803691494306884
2.980184957002302,3.1509622123594467,2.917870390767159
3.0234649812239667,3.150224184105811,2.9899548297558542
2.990921618076814,3.481919231306615,3.107325210299771
3.0034908106002964,3.4240721531628804,2.964186893173918
2.999221433408043,3.418570235177759,3.0257989608977782
2.976710740200984,3.7861349033095593,2.9991501886273797
2.959512632057879,3.4950463878902966,2.889094207781553
3.0273968692512203,3.496246140660763,3.0741180285610445
3.0066163815953164,3.1715787075485564,2.96658832584677
2.991618599927575,3.552556425008207,3.019640215662849
2.983188892737204,3.071479911945403,3.045353499893075
3.0025050399868585,3.533341886343911,2.8499988703337626
2.9882519660252083,3.5680265586429734,2.9352624493533117
2.995713895179236,3.446048860860513,3.0036734467307498
2.982618955601711,3.6358220851773346,2.943030441041551
2.9851467905293765,3.523136982934186,3.0682653108192195
3.0079056724865505,3.090422414320013,2.9382320196060934
2.9797186341511477,3.321237480296739,2.900457611746994
2.99744114083319,3.0916844116832713,3.024340567746729
3.0119666479276352,3.154509488024281,3.034751556579627
2.98088210365362,3.4771782160052034,2.8063573234366994
2.984320839132768,3.3078397806091617,2.919341554685536
2.9748532439840263,3.1707178378622136,2.942600714278969
3.0101352024442987,3.1688371048999415,3.0049104557975133
3.002754979416949,3.4169910142500703,3.054104525893889
2.9812889192871497,3.8633274997323643,2.97135025733985
3.0083545702064054,3.488614183196537,3.0297522138015758
3.002254683231268,3.4995068941041536,3.3401310558069643
3.0209481063504953,3.490931229835746,3.03421212584736
3.008314775588813,3.5022137913787748,2.8193087088053828
3.0269175256684053,3.203564383598114,3.0814591265144324
2.98779634070223,3.454831780409315,2.981161435777849
2.9927525229264202,3.8967223296892115,3.1139466083327942
2.996788487505561,3.1080262102603795,2.81718959437541
3.0009989716909455,3.6211372550697747,2.9494300296052387
3.0031787092035898,3.450543531876428,3.0898580814099663
3.021892690601552,3.511225736993062,2.996634558434294
3.025009823481759,3.097698952645172,3.0461767897733827
2.981875144992488,3.608796569489543,3.0629009632763484
3.0052573705858086,3.1499700292095985,3.050772634243408
2.9964182147128913,3.1148110969449054,2.9939576091023987
2.992039002455902,3.580254444440301,2.9873737479289177
3.0048830729281857,3.6197266428585726,2.8763320747429115
3.0101483763530332,3.111730978533095,3.018424048817514
3.029174507632839,3.182659663317638,3.0390833852388246
2.9577393824505736,3.5600918869777125,2.95341035226302
3.0116992219204004,3.1121641290855617,3.0343400098877034
3.0117207995212745,3.499113886830796,3.154645640668315
2.9983180126323,3.4961522844776494,3.0177324294058954
2.999193303633249,3.4024374156353856,2.8457839485788368
3.0259392877610356,3.566875269151142,2.852928067902659
3.007752515295379,3.118924470147752,2.6693714036683245
2.989385433007786,3.0813603186500584,2.757620541465408
2.988499362268573,3.154376469838318,2.942174685790082
2.976861853053469,3.0802189021648076,2.92417336973209
3.0292309943468982,3.8578399352700914,2.9968107636301258
2.9833418326381844,3.6217726870190563,3.0053486240007743
3.009768807232284,3.400237628716762,2.9777986456738104
3.0018625136326373,3.552186233027622,2.9979645679119606
2.9985176069684045,3.591872480245065,3.1569374330104276
2.9708586321047648,3.0504266041929515,2.949328450200925
2.984996886205272,3.1440062489759906,2.904112510804938
3.007949079028023,3.811092159344187,3.034489693372257
3.009408143329817,3.189932200503822,2.995899686738624
3.022379499081704,3.1431673792282955,3.2365610994327882
3.0031098710078945,3.4668901004622863,2.9815074117587215
2.973446907933583,3.521422953226727,2.9869398467007624
2.983616788079156,3.113449614602938,2.969900510968464
2.9966163922423856,3.6204503074160783,2.983364629716052
2.97648079620749,3.1480428717520756,3.0155573851626407
2.9996348072808194,3.438943290115397,2.843558826730208
3.0069311106475576,3.485029735317029,2.96795088636362
3.0027026301812643,3.080912545707791,3.017862770056098
2.995383146103242,3.3694680735728046,3.040506996638486
3.0056840960030677,3.531848565118242,3.0494736637825666
3.007725297041115,3.87510805869395,2.968988326187483
3.046093702250583,3.150890642518699,3.0159998499157803
3.0351245180458504,3.608029314175003,3.0165655090408516
2.9664831951969486,3.0880369826839287,2.9358106731914844
3.0076984631773964,3.4890072672689576,3.173211472253059
2.9982343573205172,3.1286467194488243,2.823533792644267
2.981177680417149,3.4372163422885826,2.990732196481824
3.0091844045927507,3.0862497626330834,3.0661479097570785
2.9984125257190875,3.4655313480557095,2.713650168566387
3.007570829700187,3.611196906542872,3.1200329482954325
2.997544286908787,3.4998484049586693,2.9093682775051546
2.97643460203048,3.5457859952872304,2.9666883237893993
2.9877118952480184,3.472086449031518,2.8701567133105748
3.0006118862038527,3.5842373860848666,2.972034056935378
3.055830929852912,3.6616129301774554,3.00862558040041
3.004443469816418,3.4071647727582377,3.173888650252556
3.0032434107471206,3.084006425664829,3.1822465061506504
2.991534655659856,3.091118219833317,2.9956358262126077
2.994445710584439,3.5430030951415032,3.081194283864434
2.9840862685117706,3.5217952394419756,2.973694239274354
2.9992564650551308,3.7352675058622435,3.0014631635261777
2.9866729427777106,3.6319933477421826,3.005562813207208
3.0024235071617245,3.135395467146241,3.0019012472300917
